week_start,issues_opened,issue_comments,issues_closed,commits,commit_comments,code_additions,code_deletions,contributor_count
4/8/14,0,0,0,11,0,20,0,2
4/15/14,0,0,0,0,0,0,0,0
4/22/14,2,2,1,5,1,1842,223,3
4/29/14,6,12,5,3,0,799,1,6
5/6/14,7,16,7,3,0,496,0,5
5/13/14,7,14,3,3,0,159,43,6
5/20/14,0,0,2,1,0,113,31,1
5/27/14,13,14,5,9,0,1853,242,5
6/3/14,19,28,18,28,0,51840,5024,5
6/10/14,16,19,4,20,0,34975,28331,9
6/17/14,25,28,16,32,6,52981,14237,11
6/24/14,43,49,28,65,6,17115,3749,10
7/1/14,2,10,1,26,0,35318,203,8
7/8/14,5,8,4,13,0,406,220,6
7/15/14,10,42,12,28,0,3479,387,10
7/22/14,17,31,11,37,1,11511,225,15
7/29/14,23,41,16,25,0,2268,126,16
8/5/14,11,24,8,39,0,158842,94419,16
8/12/14,14,14,14,27,0,84386,6829,11
8/19/14,19,31,7,36,0,1127692,741154,14
8/26/14,6,10,5,15,2,391531,57040,10
9/2/14,2,5,1,31,1,3282492,1619557,10
9/9/14,9,8,6,24,0,22335,365,8
9/16/14,3,9,12,11,0,1478,400,4
average,10.79166667,17.29166667,7.75,20.5,0.708333333,220163.7917,107200.25,7.958333333
stddev.s,10.12521247,14.02320799,6.929771939,15.67884202,1.706233244,694001.5538,355682.3919,4.553824639
